Rank,Zip Code,Population
1,11368,112425
2,11385,106717
3,10467,103732
4,11211,102624
5,11236,100331
6,11226,100277
7,11208,98660
8,11234,95666
9,11220,95643
10,10456,94218
11,11373,93967
12,11214,92946
13,10025,92805
14,11207,91972
15,10314,90761
16,11219,90036
17,11230,89075
18,11206,88349
19,11377,86421
20,10458,83960
21,11221,83835
22,11229,83615
23,11223,81789
24,11355,80853
25,10453,79606
26,10029,79597
27,10468,78647
28,11235,78128
29,11204,76978
30,11233,76819
31,10462,76756
32,11212,76527
33,10452,76078
34,11203,75451
35,10002,74993
36,10457,74554
37,11218,74508
38,10469,73870
39,11375,73488
40,10466,72479
41,10463,71360
42,11215,70156
43,10472,68796
44,11706,68773
45,11746,68491
46,11209,67809
47,11691,67094
48,11210,67040
49,11213,66295
50,11434,65791
51,10977,64882
52,10027,64548
53,14850,64484
54,10032,64264
55,11717,63054
56,11201,62823
57,10023,62435
58,11432,62053
59,11372,61844
60,10312,61741
61,10031,60254
62,10473,59609
63,10033,59607
64,10460,59505
65,10701,59312
66,11435,59296
67,10128,59256
68,10024,59001
69,11225,58882
70,10009,57925
71,11550,57652
72,11216,56308
73,11354,55200
74,12550,54988
75,10003,54682
76,11238,54540
77,14221,54081
78,12180,53437
79,11758,53424
80,10306,53142
81,14580,52587
82,10016,51057
83,10950,50895
84,10011,50472
85,10461,50348
86,11419,49618
87,11237,49310
88,14094,49170
89,10940,49068
90,11420,48489
91,10459,48351
92,10451,47798
93,10028,47793
94,11224,46707
95,11590,46560
96,10021,46215
97,11205,46064
98,11772,45964
99,11003,45263
100,11228,44994
101,11365,44983
102,10040,44571
103,14120,44437
104,10465,44205
105,11757,44115
106,11580,43714
107,10019,43703
108,11520,43408
109,13760,43350
110,10475,43208
111,11756,43099
112,10034,42910
113,12065,42868
114,11374,42653
115,12603,42589
116,14075,42471
117,11413,42443
118,10305,42298
119,10455,42283
120,14609,42042
121,11743,41938
122,11040,41877
123,10952,41834
124,11367,41824
125,10801,41759
126,12601,41539
127,11217,41407
128,13440,41243
129,10304,41064
130,14450,41035
131,11421,41002
132,14150,40825
133,10705,40733
134,14224,40590
135,11801,40340
136,11704,40285
137,10583,40013
138,14215,39962
139,11357,39902
140,14701,39731
141,10026,39363
142,12866,39178
143,10573,38861
144,10301,38733
145,11418,38517
146,11106,38363
147,10454,38203
148,13021,38114
149,11779,38063
150,11379,37851
151,11231,37845
152,10550,37817
153,11561,37662
154,13501,37646
155,13601,37624
156,11412,37458
157,11105,37382
158,11554,37358
159,11378,37279
160,11358,37190
161,11364,36806
162,11222,36492
163,11433,36489
164,13126,36335
165,11103,36140
166,14624,35885
167,10035,35743
168,12401,35339
169,12590,34711
170,14612,34259
171,11710,34237
172,11369,34118
173,11787,34099
174,10010,33730
175,10309,33531
176,11510,33484
177,12020,33456
178,11735,33454
179,11566,33401
180,14225,33328
181,14621,33264
182,13027,32949
183,12901,32846
184,14086,32671
185,13502,32542
186,11722,32524
187,11370,32514
188,10704,32223
189,11422,32082
190,11417,31927
191,10562,31772
192,10956,31619
193,11423,31400
194,14534,31303
195,12203,31251
196,11793,31238
197,10022,31125
198,11102,30800
199,10014,30738
200,12309,30397
201,11731,30357
202,14127,30297
203,10308,30186
204,11050,30132
205,11101,30043
206,14626,29901
207,10030,29882
208,11572,29846
209,11727,29823
210,13090,29758
211,14226,29700
