zipcode,year,airbnb
10026.0,2009,0
10026.0,2010,0
10026.0,2011,0
10026.0,2012,1
10026.0,2013,1
10026.0,2014,1
10026.0,2015,1
10031.0,2009,0
10031.0,2010,0
10031.0,2011,0
10031.0,2012,1
10031.0,2013,1
10031.0,2014,1
10031.0,2015,1
10032.0,2009,0
10032.0,2010,0
10032.0,2011,0
10032.0,2012,0
10032.0,2013,1
10032.0,2014,1
10032.0,2015,1
10033.0,2009,0
10033.0,2010,0
10033.0,2011,0
10033.0,2012,0
10033.0,2013,1
10033.0,2014,1
10033.0,2015,1
10034.0,2009,0
10034.0,2010,0
10034.0,2011,0
10034.0,2012,0
10034.0,2013,1
10034.0,2014,1
10034.0,2015,1
10466.0,2009,0
10466.0,2010,0
10466.0,2011,0
10466.0,2012,0
10466.0,2013,0
10466.0,2014,0
10466.0,2015,0
10468.0,2009,0
10468.0,2010,0
10468.0,2011,0
10468.0,2012,0
10468.0,2013,0
10468.0,2014,0
10468.0,2015,0
10475.0,2009,0
10475.0,2010,0
10475.0,2011,0
10475.0,2012,0
10475.0,2013,0
10475.0,2014,0
10475.0,2015,0
11234.0,2009,0
11234.0,2010,0
11234.0,2011,0
11234.0,2012,0
11234.0,2013,0
11234.0,2014,0
11234.0,2015,0
11432.0,2009,0
11432.0,2010,0
11432.0,2011,0
11432.0,2012,0
11432.0,2013,0
11432.0,2014,0
11432.0,2015,0
